Snapshot,Lookback
0,13.624
1,13.532
2,13.433
3,13.385
4,13.328
5,13.286
6,13.256
7,13.207
8,13.163
9,13.116
10,13.071
11,13.039
12,12.959
13,12.871
14,12.838
15,12.767
16,12.691
17,12.626
18,12.521
19,12.437
20,12.337
21,12.263
22,12.115
23,11.991
24,11.859
25,11.658
26,11.565
27,11.419
28,11.264
29,11.118
30,10.964
31,10.823
32,10.674
33,10.519
34,10.356
35,10.210
36,10.059
37,9.901
38,9.766
39,9.597
40,9.510
41,9.301
42,9.147
43,8.987
44,8.823
45,8.688
46,8.514
47,8.372
48,8.226
49,8.077
50,7.925
51,7.730
52,7.610
53,7.447
54,7.281
55,7.111
56,6.981
57,6.805
58,6.671
59,6.489
60,6.350
61,6.161
62,6.017
63,5.872
64,5.724
65,5.523
66,5.371
67,5.216
68,5.060
69,4.901
70,4.741
71,4.578
72,4.414
73,4.247
74,4.079
75,3.966
76,3.794
77,3.621
78,3.504
79,3.269
80,3.149
81,2.969
82,2.787
83,2.665
84,2.480
85,2.294
86,2.169
87,1.979
88,1.852
89,1.660
90,1.466
91,1.336
92,1.140
93,1.008
94,0.810
95,0.676
96,0.475
97,0.340
98,0.136
99,0.000